,Time taken,End State Visited?,Number of states visited,Total Rewards
288,0.056876420974731445,True,16 / 16,0.31122050989453576
289,0.04590582847595215,True,16 / 16,0.31122050989453576
290,0.06485486030578613,True,16 / 16,0.31122050989453576
291,0.052878618240356445,True,16 / 16,0.31122050989453576
292,0.04390692710876465,True,16 / 16,0.31122050989453576
293,0.04686331748962402,True,16 / 16,0.31122050989453576
294,0.05385470390319824,True,16 / 16,0.31122050989453576
295,0.047858238220214844,True,16 / 16,0.31122050989453576
296,0.05136370658874512,True,16 / 16,0.31122050989453576
297,0.05385565757751465,True,16 / 16,0.31122050989453576
298,0.05040240287780762,True,16 / 16,0.31122050989453576
299,0.10323667526245117,True,16 / 16,0.31122050989453576
300,0.08587002754211426,True,16 / 16,0.31122050989453576
301,0.05086350440979004,True,16 / 16,0.31122050989453576
302,0.0718073844909668,True,16 / 16,0.31122050989453576
303,0.1536402702331543,True,16 / 16,0.31122050989453576
304,0.06984162330627441,True,16 / 16,0.31122050989453576
305,0.0438838005065918,True,16 / 16,0.31122050989453576
306,0.07179737091064453,True,16 / 16,0.31122050989453576
307,0.05985856056213379,True,16 / 16,0.31122050989453576
308,0.04535079002380371,True,16 / 16,0.31122050989453576
309,0.06482768058776855,True,16 / 16,0.31122050989453576
310,0.06137275695800781,True,16 / 16,0.31122050989453576
311,0.043883323669433594,True,16 / 16,0.31122050989453576
312,0.09773731231689453,True,16 / 16,0.31122050989453576
313,0.09672808647155762,True,16 / 16,0.31122050989453576
314,0.07283306121826172,True,16 / 16,0.31122050989453576
315,0.04590749740600586,True,16 / 16,0.31122050989453576
316,0.05285954475402832,True,16 / 16,0.31122050989453576
317,0.04088115692138672,True,16 / 16,0.31122050989453576
318,0.06086373329162598,True,16 / 16,0.31122050989453576
319,0.03593277931213379,True,16 / 16,0.31122050989453576
320,0.11368441581726074,True,16 / 16,0.31122050989453576
321,0.04590582847595215,True,16 / 16,0.31122050989453576
322,0.06282877922058105,True,16 / 16,0.31122050989453576
323,0.08037996292114258,True,16 / 16,0.31122050989453576
324,0.04191708564758301,True,16 / 16,0.31122050989453576
325,0.046936750411987305,True,16 / 16,0.31122050989453576
326,0.06184053421020508,True,16 / 16,0.31122050989453576
327,0.03992509841918945,True,16 / 16,0.31122050989453576
328,0.03991961479187012,True,16 / 16,0.31122050989453576
329,0.04986929893493652,True,16 / 16,0.31122050989453576
330,0.042885780334472656,True,16 / 16,0.31122050989453576
331,0.16176748275756836,True,16 / 16,0.31122050989453576
332,0.04390716552734375,True,16 / 16,0.31122050989453576
333,0.03735709190368652,True,16 / 16,0.31122050989453576
334,0.04391050338745117,True,16 / 16,0.31122050989453576
335,0.12764620780944824,True,16 / 16,0.31122050989453576
